epoch,train_loss,val_loss,train_dist_error,val_dist_error
1,15.461602318497208,0.10328941915030783,2.5575018462985635,0.28729235891545757
2,0.20068136158712213,0.05296014716730136,0.35104583749889656,0.2044425095511733
3,0.09220857417872647,0.01793877585103896,0.24255850972083443,0.11325274070215582
4,0.1281426513437615,0.11862818249379205,0.28591383582559127,0.3152302197749249
5,0.08458944035465467,0.03640534771320302,0.2342626927084414,0.1666230530328072
6,0.05553522124085889,0.02587490514869547,0.19635750624592435,0.12237378313077077
7,0.03334860328761166,0.018550950500151413,0.15131443583592474,0.11633869868874104
8,0.01968699197845762,0.017577386883258373,0.11638177694109027,0.10869512179594361
9,0.018969757797580387,0.01731657704219836,0.11420885604935449,0.10968457712104704
10,0.0179242363592435,0.017315387024722073,0.11123970936634298,0.11001246891329798
11,0.018738458905467627,0.017318295192824545,0.11319315744192006,0.10964470677607961
12,0.01896456159119522,0.01731337279723155,0.11471802426416967,0.1098378241787689
13,0.018697867900396025,0.017313875181230714,0.11451130386654051,0.10993981419989232
14,0.018794377462127348,0.017322581948552015,0.11468559075759331,0.10956858930069856
15,0.01866249185960677,0.017323854163093736,0.112761659145881,0.1095496474971039
16,0.018812424279958512,0.017313395386164106,0.11425109527282172,0.10983320269803429
17,0.01870897135367944,0.017318775169272323,0.11425391710105665,0.10963486352663361
18,0.018280471526474693,0.017317420555355397,0.11187810628841471,0.1096639424729883
19,0.01795945539263935,0.017313351153573964,0.1120913963534876,0.10984347785791654
20,0.018460031453917385,0.017314238976059337,0.11262946845343712,0.10976470454355304
21,0.018459313463213545,0.0173158302610175,0.11271479948100417,0.10970522332169143
22,0.018908436941139778,0.017313494497024164,0.11468667627790974,0.10990538950381654
23,0.01825335054824901,0.01731332851929611,0.1124517466415858,0.10985268378972114
24,0.018652922057105288,0.017316142048282124,0.11403075233400585,0.1096962561433235
25,0.018312810404105193,0.017326080411226116,0.11208972075555261,0.10951907293738497
26,0.01810520409017132,0.017317247266570728,0.11200023383953711,0.10966800225807932
27,0.018230402988546737,0.01731372695444117,0.1122823483949197,0.10979630270700776
28,0.018374689662740914,0.017316247305173553,0.1128290341606882,0.10969335803490006
29,0.018592679892526977,0.01731553173550729,0.11362009008550224,0.10971432424774777
30,0.018362150925608185,0.017313455102428068,0.11319261011402418,0.10982373326123877
31,0.018417784918783757,0.01731535242975093,0.11302055423868687,0.10972009258770318
32,0.018622666407666306,0.017316283982540114,0.11361005933359325,0.10969235770376434
33,0.01862048892096677,0.0173169897087895,0.1141625302451653,0.1096741950020808
34,0.018805122171747464,0.017316863027990757,0.113290736262045,0.10967732028345044
35,0.01857905059831804,0.017315174787818046,0.11347729560964664,0.10972605042912986
36,0.018397684460737366,0.017313989611823906,0.11317356503788911,0.10977837577294768
37,0.01814248824959625,0.017313588061805968,0.11225784680512588,0.10980842184373056
38,0.018456586784479277,0.017314978093885526,0.11283342650798003,0.10973299914196635
